1,1,4,1,2,2,3,1,4,2,3,4,1,3,1,2,1,3,2,4,4,4,4,4,1,4,4,3,1,1,2,3,3,3,1,4,2,3,2,4,4,3,4,2,4,2,1,2,3,3,1,2,2,3,4,1.705992
3,4,3,1,2,2,1,3,3,3,4,1,3,3,3,3,4,2,4,4,4,4,1,3,2,2,1,2,1,1,1,4,4,2,4,4,1,2,4,3,3,4,3,3,2,3,4,3,2,1,1,3,3,4,4,1.391667
3,1,1,1,2,4,4,3,3,4,1,4,2,3,4,1,4,3,4,3,1,2,3,1,4,3,2,1,3,3,2,4,2,1,2,1,1,4,3,2,3,4,1,1,2,1,1,3,4,1,4,4,4,2,4,1.539437
2,2,1,3,2,3,3,1,2,1,1,4,3,4,1,4,2,4,3,1,3,1,3,4,1,1,1,3,1,2,2,2,4,4,2,4,1,3,2,3,3,1,1,2,1,1,3,4,2,3,4,2,2,2,4,1.828048
3,1,2,2,1,1,4,4,2,3,3,1,3,1,1,2,2,1,1,4,3,4,1,2,1,4,3,3,3,1,3,4,1,2,4,1,2,2,3,1,4,1,1,1,3,1,3,2,1,1,1,2,3,3,4,1.762871
3,3,3,4,1,4,4,4,2,3,3,1,4,1,1,2,4,2,4,1,2,3,4,2,1,4,3,3,1,2,4,4,1,1,1,1,2,1,3,3,4,2,4,4,1,4,3,2,1,2,2,2,1,3,4,1.398180
2,3,1,3,3,1,2,2,3,3,2,3,2,2,3,4,1,3,2,4,3,2,4,2,2,3,2,3,1,2,2,2,4,4,3,4,3,2,2,3,3,2,1,1,2,4,2,3,3,4,2,4,3,1,4,1.397823
3,3,3,3,2,1,3,4,3,4,1,2,3,3,4,3,4,4,2,3,1,1,1,2,3,4,2,1,1,3,3,4,2,4,1,1,1,3,3,2,3,1,4,3,4,1,3,1,1,2,4,4,3,4,4,1.481650
2,3,3,4,4,1,3,4,3,1,4,3,3,4,3,2,2,2,4,1,3,4,1,3,3,3,3,3,3,3,3,4,1,4,2,4,4,3,4,1,4,3,3,2,4,1,3,2,1,4,2,3,3,1,4,1.565712
1,4,3,2,2,3,3,3,1,2,3,3,4,3,3,2,3,1,4,4,3,4,3,4,2,3,4,2,2,4,2,4,2,1,3,2,1,4,2,2,1,3,1,1,1,3,3,2,3,4,3,1,3,4,4,1.464901
1,4,3,1,4,3,1,1,4,2,3,3,1,1,2,2,3,3,1,2,3,1,3,3,1,4,2,2,1,2,3,4,4,2,3,3,1,1,1,2,3,2,2,4,2,1,4,3,4,3,4,4,1,2,4,1.467363
2,1,1,2,2,4,4,1,2,1,2,4,2,1,2,1,2,1,2,3,3,1,3,1,4,2,4,4,3,2,2,1,2,2,3,4,1,3,3,4,2,4,4,4,2,1,2,3,1,4,3,4,1,3,4,2.113776
