2,1,1,1,1,4,3,3,1,2,4,3,4,3,3,4,1,2,2,1,1,2,1,3,3,2,3,1,4,3,3,4,1,1,1,4,3,2,3,4,4,3,2,2,1,3,1,4,1,3,1,1,3,1,1,1.669295
4,1,1,1,1,2,3,2,1,1,4,3,3,3,2,2,1,3,3,2,2,3,3,4,3,1,3,4,1,2,2,3,2,2,2,2,3,2,1,1,1,2,4,1,4,3,3,1,1,4,3,1,1,1,1,1.606889
4,1,1,4,3,3,1,3,1,3,2,2,2,3,3,3,1,1,3,4,1,1,4,4,3,3,4,2,4,1,3,1,2,3,1,2,2,3,4,4,2,1,3,4,3,1,4,2,2,4,1,3,2,1,1,1.541945
2,4,3,3,3,2,1,4,3,3,2,1,2,1,4,4,1,1,1,1,4,1,2,4,3,2,3,2,4,3,4,4,1,1,3,3,1,2,1,3,1,2,2,1,1,4,1,2,4,3,1,4,4,3,1,1.581215
2,1,4,3,4,2,4,2,4,3,3,3,4,3,1,3,4,4,4,2,3,4,2,4,1,3,4,1,2,2,1,3,4,3,4,4,3,1,4,1,4,4,4,3,3,2,4,2,2,4,2,2,1,2,1,1.707475
1,2,3,4,4,2,2,4,3,3,4,1,2,3,3,1,4,4,3,3,2,3,3,1,4,3,2,4,1,4,2,4,3,4,3,2,2,4,1,4,4,4,3,1,2,4,2,4,4,1,4,1,2,2,1,1.704597
1,2,2,2,2,1,4,2,4,4,2,4,3,4,4,2,4,4,1,4,3,4,4,3,1,4,2,4,1,4,2,4,2,4,1,2,1,2,1,1,1,4,2,4,4,3,2,3,2,2,1,4,4,4,1,2.178753
1,2,2,3,4,2,4,3,1,4,1,2,2,1,2,1,1,1,1,3,2,4,1,4,1,1,2,4,1,4,3,4,3,1,2,1,1,4,2,3,3,4,3,2,3,4,2,1,1,3,2,4,4,2,1,1.882227
1,3,4,3,4,2,3,3,1,1,4,1,4,1,2,1,2,1,4,2,1,4,2,1,4,4,1,2,3,3,1,2,2,3,3,1,1,2,4,3,1,1,4,3,3,4,1,4,2,1,1,3,4,1,1,1.432992
4,4,2,3,1,3,2,1,4,4,1,3,1,1,4,4,3,4,3,3,1,1,2,1,1,3,3,4,4,4,2,2,3,1,3,3,1,4,1,4,2,4,4,4,4,1,2,1,2,4,2,2,4,4,1,1.634715
2,3,1,4,3,4,1,1,1,3,4,1,4,1,1,1,2,2,3,4,1,3,2,1,2,2,4,4,2,4,3,3,2,4,4,4,2,4,4,4,4,3,2,3,2,3,1,1,3,4,3,4,4,4,1,1.440197
4,1,3,3,1,4,2,1,3,1,4,4,4,1,4,4,3,2,1,4,2,2,2,1,3,2,3,3,4,2,2,3,3,4,1,1,3,2,4,4,2,1,2,1,3,1,3,3,4,2,2,4,4,1,1,1.471644
